Geneid	max_TPM	category	family_id	subsample_assignment1	subsample_assignment2	subsample_assignment3	subsample_assignment4	subsample_assignment5	subsample_assignment6	subsample_assignment7	subsample_assignment8	subsample_assignment9	subsample_assignment10
GRMZM2G002616	383.476196	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G112336	389.840179	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G150404	399.394257	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G142898	407.575531	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G022019	408.910858	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G110145	429.1315	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G018241	459.806	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G424832	494.354248	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G028353	584.476807	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G113137	630.185425	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G074546	683.8125	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G037413	784.10675	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G055795	791.188477	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G445905	809.915161	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G177631	949.883911	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G122277	950.342041	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G027723	1133.252686	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G014558	1429.896851	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G025231	1491.461792	highly-expressed	0	subsample2	subsample2	subsample3	subsample4	subsample4	subsample2	subsample3	subsample1	subsample3	subsample5
GRMZM2G083195	376.728302	highly-expressed	1	subsample2	subsample3	subsample4	subsample2	subsample2	subsample4	subsample1	subsample2	subsample1	subsample2
AC234180.1_FG004	0	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
AC201969.4_FG005	0	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G700501	0.27431	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G704451	0.27431	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G000471	0.282585	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G065958	0.30449	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G373447	0.321307	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
AC186283.4_FG002	0.94016	unexpressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G081239	369.419373	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G305446	419.318542	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G028325	445.360107	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G113470	495.096039	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G176209	547.400818	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G125023	636.371277	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G081192	695.817871	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G092125	822.28717	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G103945	859.299988	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G178693	949.250244	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G108273	1003.551819	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
GRMZM2G392975	1071.221924	highly-expressed	2	subsample3	subsample1	subsample3	subsample3	subsample2	subsample2	subsample1	subsample2	subsample5	subsample4
